machine,modele,quantification,prompt,classe,n_caracteres,max_tokens,run,tokens,duree_s,energie_kWh,joules,joules_pmic,joules_pmic_cpu,w_moyen_pmic
Pi5,Llama-3.2-1B,Q4_K_M,Does cognitive empathy exist?,court,29,16,1,16,1.18,2.8257015647219246e-06,10.2,7.2,4.9,6.39
Pi5,Llama-3.2-1B,Q4_K_M,Does cognitive empathy exist?,court,29,16,2,16,1.17,2.7980359806707203e-06,10.1,6.1,3.9,5.39
Pi5,Llama-3.2-1B,Q4_K_M,Does cognitive empathy exist?,court,29,16,3,16,1.25,2.9000437401149322e-06,10.4,6.3,4.1,5.56
Pi5,Llama-3.2-1B,Q4_K_M,Does cognitive empathy exist?,court,29,16,4,16,1.17,2.8022431881875924e-06,10.1,5.9,3.9,5.87
Pi5,Llama-3.2-1B,Q4_K_M,Does cognitive empathy exist?,court,29,16,5,16,1.17,2.801444811496199e-06,10.1,6.8,4.6,6.04
Pi5,Llama-3.2-1B,Q4_K_M,Generate a movie review,court,23,16,1,16,1.18,2.82036556965398e-06,10.2,6.3,4.1,5.57
Pi5,Llama-3.2-1B,Q4_K_M,Generate a movie review,court,23,16,2,16,1.16,2.787795761776912e-06,10.0,6.7,4.4,5.91
Pi5,Llama-3.2-1B,Q4_K_M,Generate a movie review,court,23,16,3,16,1.32,3.12058343291908e-06,11.2,6.3,4.1,5.57
Pi5,Llama-3.2-1B,Q4_K_M,Generate a movie review,court,23,16,4,16,1.16,2.792050627297563e-06,10.1,7.2,4.9,6.36
Pi5,Llama-3.2-1B,Q4_K_M,Generate a movie review,court,23,16,5,16,1.16,2.7856925106380305e-06,10.0,6.9,4.7,6.16
Pi5,Llama-3.2-1B,Q4_K_M,Identify popular dishes in Mexico.,court,34,16,1,16,1.26,2.974028260888433e-06,10.7,7.5,5.0,6.09
Pi5,Llama-3.2-1B,Q4_K_M,Identify popular dishes in Mexico.,court,34,16,2,16,1.17,2.799761633672156e-06,10.1,7.0,4.7,6.21
Pi5,Llama-3.2-1B,Q4_K_M,Identify popular dishes in Mexico.,court,34,16,3,16,1.16,2.7836302962322756e-06,10.0,6.5,4.2,5.72
Pi5,Llama-3.2-1B,Q4_K_M,Identify popular dishes in Mexico.,court,34,16,4,16,1.16,2.775268178338065e-06,10.0,6.5,4.3,5.72
Pi5,Llama-3.2-1B,Q4_K_M,Identify popular dishes in Mexico.,court,34,16,5,16,1.16,2.7861499819814908e-06,10.0,6.7,4.5,5.98
Pi5,Llama-3.2-1B,Q4_K_M,What is unique about a hyperbole?,court,33,16,1,16,1.26,2.975380470806777e-06,10.7,6.8,4.6,6.0
Pi5,Llama-3.2-1B,Q4_K_M,What is unique about a hyperbole?,court,33,16,2,16,1.17,2.7957434848473175e-06,10.1,6.2,3.9,5.46
Pi5,Llama-3.2-1B,Q4_K_M,What is unique about a hyperbole?,court,33,16,3,16,1.18,2.8221830292759854e-06,10.2,6.1,4.1,6.06
Pi5,Llama-3.2-1B,Q4_K_M,What is unique about a hyperbole?,court,33,16,4,16,1.16,2.787287858009996e-06,10.0,6.8,4.5,6.02
Pi5,Llama-3.2-1B,Q4_K_M,What is unique about a hyperbole?,court,33,16,5,16,1.18,2.8079810617908995e-06,10.1,6.9,4.6,6.1
Pi5,Llama-3.2-1B,Q4_K_M,Write an emergency response plan,court,32,16,1,16,1.2,2.8567395278873094e-06,10.3,7.1,4.8,6.28
Pi5,Llama-3.2-1B,Q4_K_M,Write an emergency response plan,court,32,16,2,16,1.17,2.7998004509863356e-06,10.1,6.6,4.3,5.82
Pi5,Llama-3.2-1B,Q4_K_M,Write an emergency response plan,court,32,16,3,16,1.16,2.7860640903314366e-06,10.0,6.8,4.6,6.02
Pi5,Llama-3.2-1B,Q4_K_M,Write an emergency response plan,court,32,16,4,16,1.17,2.803719964800091e-06,10.1,6.5,4.3,5.73
Pi5,Llama-3.2-1B,Q4_K_M,Write an emergency response plan,court,32,16,5,16,1.16,2.78429642824464e-06,10.0,6.5,4.4,5.81
Pi5,Llama-3.2-1B,Q4_K_M,Generate a quiz about physics.,court,30,16,1,16,1.22,2.900833153732453e-06,10.4,5.2,3.3,5.7
Pi5,Llama-3.2-1B,Q4_K_M,Generate a quiz about physics.,court,30,16,2,16,1.16,2.774295126097635e-06,10.0,6.5,4.3,5.8
Pi5,Llama-3.2-1B,Q4_K_M,Generate a quiz about physics.,court,30,16,3,16,1.16,2.783468128836053e-06,10.0,6.1,4.1,6.1
Pi5,Llama-3.2-1B,Q4_K_M,Generate a quiz about physics.,court,30,16,4,16,1.25,2.8980653763673286e-06,10.4,6.2,4.0,5.47
Pi5,Llama-3.2-1B,Q4_K_M,Generate a quiz about physics.,court,30,16,5,16,1.16,2.785464088031486e-06,10.0,6.3,4.1,5.63
Pi5,Llama-3.2-1B,Q4_K_M,Develop a metaphor for hope.,court,28,16,1,16,1.23,2.903747814898607e-06,10.5,6.9,4.6,6.06
Pi5,Llama-3.2-1B,Q4_K_M,Develop a metaphor for hope.,court,28,16,2,16,1.26,2.9210501151882457e-06,10.5,6.5,4.2,5.75
Pi5,Llama-3.2-1B,Q4_K_M,Develop a metaphor for hope.,court,28,16,3,16,1.16,2.785478994699476e-06,10.0,6.6,4.3,5.85
Pi5,Llama-3.2-1B,Q4_K_M,Develop a metaphor for hope.,court,28,16,4,16,1.17,2.7918206344451715e-06,10.1,6.8,4.5,5.98
Pi5,Llama-3.2-1B,Q4_K_M,Develop a metaphor for hope.,court,28,16,5,16,1.16,2.786011417965068e-06,10.0,7.0,4.8,6.24
Pi5,Llama-3.2-1B,Q4_K_M,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,1,16,1.29,3.045793375206243e-06,11.0,6.6,4.3,5.84
Pi5,Llama-3.2-1B,Q4_K_M,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,2,16,1.16,2.7812964820493847e-06,10.0,6.6,4.4,5.85
Pi5,Llama-3.2-1B,Q4_K_M,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,3,16,1.16,2.77510105629582e-06,10.0,6.9,4.6,6.11
Pi5,Llama-3.2-1B,Q4_K_M,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,4,16,1.16,2.780127944074038e-06,10.0,5.7,3.7,5.69
Pi5,Llama-3.2-1B,Q4_K_M,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,5,16,1.16,2.7788546254030494e-06,10.0,6.8,4.6,6.02
Pi5,Llama-3.2-1B,Q4_K_M,Describe the primary colors.,court,28,16,1,16,1.23,2.9167663122921293e-06,10.5,6.5,4.2,5.72
Pi5,Llama-3.2-1B,Q4_K_M,Describe the primary colors.,court,28,16,2,16,1.15,2.7724105029717248e-06,10.0,6.8,4.5,6.0
Pi5,Llama-3.2-1B,Q4_K_M,Describe the primary colors.,court,28,16,3,16,1.16,2.783534582385583e-06,10.0,6.1,4.1,6.11
Pi5,Llama-3.2-1B,Q4_K_M,Describe the primary colors.,court,28,16,4,16,1.16,2.7788282142352003e-06,10.0,5.5,3.7,6.08
Pi5,Llama-3.2-1B,Q4_K_M,Describe the primary colors.,court,28,16,5,16,1.16,2.790721732209007e-06,10.0,6.1,4.2,6.08
Pi5,Llama-3.2-1B,Q4_K_M,Name two first aid treatments for a cut.,court,40,16,1,16,1.27,3.021491624394731e-06,10.9,6.4,4.2,5.69
Pi5,Llama-3.2-1B,Q4_K_M,Name two first aid treatments for a cut.,court,40,16,2,16,1.17,2.7878467471322694e-06,10.0,6.5,4.3,5.77
Pi5,Llama-3.2-1B,Q4_K_M,Name two first aid treatments for a cut.,court,40,16,3,16,1.17,2.792367484637332e-06,10.1,6.2,4.2,6.15
Pi5,Llama-3.2-1B,Q4_K_M,Name two first aid treatments for a cut.,court,40,16,4,16,1.25,2.902602676046251e-06,10.4,6.3,4.1,5.62
Pi5,Llama-3.2-1B,Q4_K_M,Name two first aid treatments for a cut.,court,40,16,5,16,1.16,2.781581823496566e-06,10.0,6.9,4.6,6.12
Pi5,Llama-3.2-1B,Q4_K_M,Write one sentence about handwashing.,court,37,16,1,16,1.27,2.9979194109502245e-06,10.8,6.9,4.6,6.11
Pi5,Llama-3.2-1B,Q4_K_M,Write one sentence about handwashing.,court,37,16,2,16,1.16,2.7857335265587607e-06,10.0,6.7,4.5,5.93
Pi5,Llama-3.2-1B,Q4_K_M,Write one sentence about handwashing.,court,37,16,3,16,1.17,2.7925324255203198e-06,10.1,6.3,4.1,5.59
Pi5,Llama-3.2-1B,Q4_K_M,Write one sentence about handwashing.,court,37,16,4,16,1.16,2.783439185187919e-06,10.0,6.7,4.4,5.94
Pi5,Llama-3.2-1B,Q4_K_M,Write one sentence about handwashing.,court,37,16,5,16,1.16,3.102179816869116e-06,11.2,6.2,4.2,6.18
Pi5,Llama-3.2-1B,Q4_K_M,Who is Samantha Andrews?,court,24,16,1,16,1.2,2.8587705880526305e-06,10.3,6.3,4.1,5.61
Pi5,Llama-3.2-1B,Q4_K_M,Who is Samantha Andrews?,court,24,16,2,16,1.17,2.792045431451255e-06,10.1,7.0,4.8,6.21
Pi5,Llama-3.2-1B,Q4_K_M,Who is Samantha Andrews?,court,24,16,3,16,1.17,2.8008661973089864e-06,10.1,6.6,4.4,5.97
Pi5,Llama-3.2-1B,Q4_K_M,Who is Samantha Andrews?,court,24,16,4,16,1.16,2.772638955469433e-06,10.0,6.7,4.5,5.92
