machine,modele,quantification,prompt,classe,n_caracteres,max_tokens,run,tokens,duree_s,energie_kWh,joules,joules_pmic,joules_pmic_cpu,w_moyen_pmic
Pi5,Gemma-3-1B,Q3_K_M,Does cognitive empathy exist?,court,29,16,1,16,1.05,2.6252770601450483e-06,9.5,4.8,3.2,5.33
Pi5,Gemma-3-1B,Q3_K_M,Does cognitive empathy exist?,court,29,16,2,16,1.05,2.6273195304094165e-06,9.5,4.8,3.2,5.28
Pi5,Gemma-3-1B,Q3_K_M,Does cognitive empathy exist?,court,29,16,3,16,1.12,2.731469799126126e-06,9.8,4.9,3.3,5.36
Pi5,Gemma-3-1B,Q3_K_M,Generate a movie review,court,23,16,1,16,1.08,2.6708326621896693e-06,9.6,4.9,3.2,5.4
Pi5,Gemma-3-1B,Q3_K_M,Generate a movie review,court,23,16,2,16,1.04,2.604895802407602e-06,9.4,4.7,3.1,5.15
Pi5,Gemma-3-1B,Q3_K_M,Generate a movie review,court,23,16,3,16,1.04,2.612029824908842e-06,9.4,5.0,3.4,5.52
Pi5,Gemma-3-1B,Q3_K_M,Identify popular dishes in Mexico.,court,34,16,1,16,1.07,2.6513318317589435e-06,9.5,5.0,3.5,5.51
Pi5,Gemma-3-1B,Q3_K_M,Identify popular dishes in Mexico.,court,34,16,2,16,1.08,2.660139441173486e-06,9.6,5.0,3.4,5.42
Pi5,Gemma-3-1B,Q3_K_M,Identify popular dishes in Mexico.,court,34,16,3,16,1.07,2.649941175742287e-06,9.5,5.1,3.5,5.56
Pi5,Gemma-3-1B,Q3_K_M,What is unique about a hyperbole?,court,33,16,1,16,1.08,2.666364275924303e-06,9.6,5.1,3.5,5.61
Pi5,Gemma-3-1B,Q3_K_M,What is unique about a hyperbole?,court,33,16,2,16,1.08,2.667544539554339e-06,9.6,4.8,3.2,5.35
Pi5,Gemma-3-1B,Q3_K_M,What is unique about a hyperbole?,court,33,16,3,16,1.07,2.6521859498477745e-06,9.5,5.2,3.6,5.76
Pi5,Gemma-3-1B,Q3_K_M,Write an emergency response plan,court,32,16,1,16,1.06,2.631077396312615e-06,9.5,4.9,3.4,5.41
Pi5,Gemma-3-1B,Q3_K_M,Write an emergency response plan,court,32,16,2,16,1.06,2.631612895191494e-06,9.5,4.8,3.3,5.33
Pi5,Gemma-3-1B,Q3_K_M,Write an emergency response plan,court,32,16,3,16,1.06,2.628755569190901e-06,9.5,4.9,3.4,5.44
Pi5,Gemma-3-1B,Q3_K_M,Generate a quiz about physics.,court,30,16,1,16,1.08,2.655394541659601e-06,9.6,5.8,4.0,5.71
Pi5,Gemma-3-1B,Q3_K_M,Generate a quiz about physics.,court,30,16,2,16,1.08,2.6579121230885887e-06,9.6,4.5,2.9,5.0
Pi5,Gemma-3-1B,Q3_K_M,Generate a quiz about physics.,court,30,16,3,16,1.06,2.63821116434178e-06,9.5,5.1,3.5,5.65
Pi5,Gemma-3-1B,Q3_K_M,Develop a metaphor for hope.,court,28,16,1,16,1.06,2.6413330245117192e-06,9.5,4.9,3.3,5.43
Pi5,Gemma-3-1B,Q3_K_M,Develop a metaphor for hope.,court,28,16,2,16,1.07,2.6528898180917707e-06,9.6,5.1,3.5,5.61
Pi5,Gemma-3-1B,Q3_K_M,Develop a metaphor for hope.,court,28,16,3,16,1.07,2.653082403490879e-06,9.6,5.0,3.3,5.47
Pi5,Gemma-3-1B,Q3_K_M,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,1,16,1.09,2.6724644435856167e-06,9.6,4.8,3.3,5.32
Pi5,Gemma-3-1B,Q3_K_M,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,2,16,1.1,2.686591116264108e-06,9.7,4.8,3.2,5.36
Pi5,Gemma-3-1B,Q3_K_M,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,3,16,1.11,2.7069174898842817e-06,9.7,5.6,3.9,5.58
Pi5,Gemma-3-1B,Q3_K_M,Describe the primary colors.,court,28,16,1,16,1.07,2.6472980800778375e-06,9.5,5.0,3.4,5.51
Pi5,Gemma-3-1B,Q3_K_M,Describe the primary colors.,court,28,16,2,16,1.05,2.6272854038413997e-06,9.5,5.0,3.4,5.51
Pi5,Gemma-3-1B,Q3_K_M,Describe the primary colors.,court,28,16,3,16,1.06,2.6304232197328926e-06,9.5,4.6,3.0,5.06
Pi5,Gemma-3-1B,Q3_K_M,Name two first aid treatments for a cut.,court,40,16,1,16,1.08,2.669843062797792e-06,9.6,5.1,3.3,5.04
Pi5,Gemma-3-1B,Q3_K_M,Name two first aid treatments for a cut.,court,40,16,2,16,1.08,2.6649990305494855e-06,9.6,5.1,3.4,5.65
Pi5,Gemma-3-1B,Q3_K_M,Name two first aid treatments for a cut.,court,40,16,3,16,1.09,2.6741266318154557e-06,9.6,4.7,3.1,5.18
Pi5,Gemma-3-1B,Q3_K_M,Write one sentence about handwashing.,court,37,16,1,16,1.07,2.6447451110207728e-06,9.5,4.6,3.0,5.06
Pi5,Gemma-3-1B,Q3_K_M,Write one sentence about handwashing.,court,37,16,2,16,1.07,2.649203047693315e-06,9.5,5.2,3.5,5.68
Pi5,Gemma-3-1B,Q3_K_M,Write one sentence about handwashing.,court,37,16,3,16,1.06,2.641618620210289e-06,9.5,5.0,3.3,5.44
Pi5,Gemma-3-1B,Q3_K_M,Who is Samantha Andrews?,court,24,16,1,16,1.05,2.622527356537177e-06,9.4,5.0,3.3,5.47
Pi5,Gemma-3-1B,Q3_K_M,Who is Samantha Andrews?,court,24,16,2,16,1.06,2.6342165420871023e-06,9.5,4.6,3.0,5.08
Pi5,Gemma-3-1B,Q3_K_M,Who is Samantha Andrews?,court,24,16,3,16,1.06,2.6326577679197325e-06,9.5,4.6,3.0,5.04
Pi5,Gemma-3-1B,Q3_K_M,What year did WW2 start?,court,24,16,1,16,1.08,2.6593836113460564e-06,9.6,5.2,3.5,5.62
Pi5,Gemma-3-1B,Q3_K_M,What year did WW2 start?,court,24,16,2,16,1.06,2.63645563771959e-06,9.5,4.8,3.2,5.33
Pi5,Gemma-3-1B,Q3_K_M,What year did WW2 start?,court,24,16,3,16,1.06,2.630858955776349e-06,9.5,5.0,3.2,4.98
Pi5,Gemma-3-1B,Q3_K_M,Give 10 features of the sun.,court,28,16,1,16,1.1,2.693213015582699e-06,9.7,4.8,3.1,5.23
Pi5,Gemma-3-1B,Q3_K_M,Give 10 features of the sun.,court,28,16,2,16,1.1,2.6888119175353777e-06,9.7,5.4,3.6,5.3
Pi5,Gemma-3-1B,Q3_K_M,Give 10 features of the sun.,court,28,16,3,16,1.1,2.6874943644715703e-06,9.7,5.3,3.6,5.28
Pi5,Gemma-3-1B,Q3_K_M,Write a mock newspaper headline.,court,32,16,1,16,1.07,2.6482677422204443e-06,9.5,5.2,3.4,5.68
Pi5,Gemma-3-1B,Q3_K_M,Write a mock newspaper headline.,court,32,16,2,16,1.07,2.649798537565406e-06,9.5,4.9,3.3,5.46
Pi5,Gemma-3-1B,Q3_K_M,Write a mock newspaper headline.,court,32,16,3,16,1.08,2.65591715923256e-06,9.6,5.3,3.5,5.24
Pi5,Gemma-3-1B,Q3_K_M,Create a data visualization of the latest COVID-19 cases in the US.,moyen,67,16,1,16,1.15,2.7672281444801965e-06,10.0,5.5,3.7,5.45
Pi5,Gemma-3-1B,Q3_K_M,Create a data visualization of the latest COVID-19 cases in the US.,moyen,67,16,2,16,1.16,2.7838997891413958e-06,10.0,6.2,4.2,5.49
Pi5,Gemma-3-1B,Q3_K_M,Create a data visualization of the latest COVID-19 cases in the US.,moyen,67,16,3,16,1.16,2.768564797446184e-06,10.0,5.7,3.8,5.03
Pi5,Gemma-3-1B,Q3_K_M,"Calculate the price after discount.
Regular price: $100, Discount: 15%",moyen,70,16,1,16,1.19,2.8443530929374418e-06,10.2,6.6,4.7,5.82
Pi5,Gemma-3-1B,Q3_K_M,"Calculate the price after discount.
Regular price: $100, Discount: 15%",moyen,70,16,2,16,1.2,2.8448904069595687e-06,10.2,6.8,5.0,6.03
Pi5,Gemma-3-1B,Q3_K_M,"Calculate the price after discount.
Regular price: $100, Discount: 15%",moyen,70,16,3,16,1.2,2.8473973939631093e-06,10.3,6.5,4.7,5.74
Pi5,Gemma-3-1B,Q3_K_M,"Parse the given sentence grammatically.
The small jar sat on the shelf.",moyen,71,16,1,16,1.16,2.780142203271749e-06,10.0,5.9,4.0,5.21
Pi5,Gemma-3-1B,Q3_K_M,"Parse the given sentence grammatically.
The small jar sat on the shelf.",moyen,71,16,2,16,1.26,2.918473624978137e-06,10.5,5.9,3.9,5.22
Pi5,Gemma-3-1B,Q3_K_M,"Parse the given sentence grammatically.
The small jar sat on the shelf.",moyen,71,16,3,16,1.16,2.7763954765813415e-06,10.0,5.9,4.0,5.24
Pi5,Gemma-3-1B,Q3_K_M,"Rewrite the given program in Java.
a = 4
b = 5
c = a + b
print(c)",moyen,65,16,1,16,1.25,2.9477426810938283e-06,10.6,6.7,4.8,5.88
Pi5,Gemma-3-1B,Q3_K_M,"Rewrite the given program in Java.
a = 4
b = 5
c = a + b
print(c)",moyen,65,16,2,16,1.26,2.9691274306664496e-06,10.7,6.9,4.9,5.6
