machine,modele,quantification,prompt,classe,n_caracteres,max_tokens,run,tokens,duree_s,energie_kWh,joules,joules_pmic,joules_pmic_cpu,w_moyen_pmic
Pi5,Qwen2.5-1.5B,Q3_K_L,Does cognitive empathy exist?,court,29,16,1,16,1.9,4.503063969831762e-06,16.2,9.7,7.0,6.1
Pi5,Qwen2.5-1.5B,Q3_K_L,Does cognitive empathy exist?,court,29,16,2,16,1.9,4.506204948311345e-06,16.2,10.4,7.6,6.16
Pi5,Qwen2.5-1.5B,Q3_K_L,Does cognitive empathy exist?,court,29,16,3,16,1.9,4.461976428107838e-06,16.1,11.2,8.2,6.3
Pi5,Qwen2.5-1.5B,Q3_K_L,Generate a movie review,court,23,16,1,16,1.84,4.381252106988501e-06,15.8,9.3,6.6,5.54
Pi5,Qwen2.5-1.5B,Q3_K_L,Generate a movie review,court,23,16,2,16,1.85,4.373428522642384e-06,15.7,9.5,6.6,5.64
Pi5,Qwen2.5-1.5B,Q3_K_L,Generate a movie review,court,23,16,3,16,1.85,4.546912908025576e-06,16.4,9.5,6.8,5.68
Pi5,Qwen2.5-1.5B,Q3_K_L,Identify popular dishes in Mexico.,court,34,16,1,16,1.98,4.624536223344831e-06,16.6,11.2,8.4,6.26
Pi5,Qwen2.5-1.5B,Q3_K_L,Identify popular dishes in Mexico.,court,34,16,2,16,1.98,4.598275108113467e-06,16.6,10.0,7.1,5.63
Pi5,Qwen2.5-1.5B,Q3_K_L,Identify popular dishes in Mexico.,court,34,16,3,16,1.97,4.587891007514844e-06,16.5,10.5,7.7,5.92
Pi5,Qwen2.5-1.5B,Q3_K_L,What is unique about a hyperbole?,court,33,16,1,16,1.98,4.600381904607487e-06,16.6,9.9,7.2,5.88
Pi5,Qwen2.5-1.5B,Q3_K_L,What is unique about a hyperbole?,court,33,16,2,16,1.99,4.646588954211801e-06,16.7,10.7,7.7,5.97
Pi5,Qwen2.5-1.5B,Q3_K_L,What is unique about a hyperbole?,court,33,16,3,16,1.98,4.604460088109761e-06,16.6,10.9,7.8,6.1
Pi5,Qwen2.5-1.5B,Q3_K_L,Write an emergency response plan,court,32,16,1,16,1.9,4.489962945018939e-06,16.2,9.8,7.0,5.83
Pi5,Qwen2.5-1.5B,Q3_K_L,Write an emergency response plan,court,32,16,2,16,1.88,4.468813023064595e-06,16.1,9.9,7.0,5.87
Pi5,Qwen2.5-1.5B,Q3_K_L,Write an emergency response plan,court,32,16,3,16,1.89,4.497712784607294e-06,16.2,10.5,7.7,6.26
Pi5,Qwen2.5-1.5B,Q3_K_L,Generate a quiz about physics.,court,30,16,1,16,1.93,4.503571561417877e-06,16.2,10.5,7.7,5.93
Pi5,Qwen2.5-1.5B,Q3_K_L,Generate a quiz about physics.,court,30,16,2,16,2.03,4.387223201264655e-06,15.8,10.8,7.6,5.65
Pi5,Qwen2.5-1.5B,Q3_K_L,Generate a quiz about physics.,court,30,16,3,16,1.94,4.5090467583476875e-06,16.2,10.1,7.3,5.98
Pi5,Qwen2.5-1.5B,Q3_K_L,Develop a metaphor for hope.,court,28,16,1,16,1.94,4.508006629277616e-06,16.2,11.4,8.2,5.99
Pi5,Qwen2.5-1.5B,Q3_K_L,Develop a metaphor for hope.,court,28,16,2,16,1.93,4.500952930189574e-06,16.2,10.9,7.9,5.78
Pi5,Qwen2.5-1.5B,Q3_K_L,Develop a metaphor for hope.,court,28,16,3,16,2.01,4.354241913256349e-06,15.7,10.6,7.6,5.65
Pi5,Qwen2.5-1.5B,Q3_K_L,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,1,16,2.16,4.595398795081982e-06,16.5,13.2,9.8,6.18
Pi5,Qwen2.5-1.5B,Q3_K_L,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,2,16,2.15,4.586897728364919e-06,16.5,12.7,9.5,6.25
Pi5,Qwen2.5-1.5B,Q3_K_L,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,3,16,2.17,4.617597281850205e-06,16.6,11.9,8.6,5.58
Pi5,Qwen2.5-1.5B,Q3_K_L,Describe the primary colors.,court,28,16,1,16,1.89,4.453178627562797e-06,16.0,8.7,6.0,5.5
Pi5,Qwen2.5-1.5B,Q3_K_L,Describe the primary colors.,court,28,16,2,16,1.9,4.454044780101366e-06,16.0,10.4,7.5,5.76
Pi5,Qwen2.5-1.5B,Q3_K_L,Describe the primary colors.,court,28,16,3,16,1.88,4.471295486255169e-06,16.1,10.7,7.8,6.02
