machine,modele,quantification,prompt,classe,n_caracteres,max_tokens,run,tokens,duree_s,energie_kWh,joules,joules_pmic,joules_pmic_cpu,w_moyen_pmic
Pi5,Llama-3.2-1B,Q3_K_L,Does cognitive empathy exist?,court,29,16,1,16,1.54,3.967505048140681e-06,14.3,8.0,5.4,5.88
Pi5,Llama-3.2-1B,Q3_K_L,Does cognitive empathy exist?,court,29,16,2,16,1.53,3.902340766389445e-06,14.0,8.0,5.2,5.48
Pi5,Llama-3.2-1B,Q3_K_L,Does cognitive empathy exist?,court,29,16,3,16,1.55,3.908484047710692e-06,14.1,8.9,6.1,6.1
Pi5,Llama-3.2-1B,Q3_K_L,Generate a movie review,court,23,16,1,16,1.52,3.86831695390943e-06,13.9,8.7,5.9,5.98
Pi5,Llama-3.2-1B,Q3_K_L,Generate a movie review,court,23,16,2,16,1.51,3.8639356298547485e-06,13.9,8.2,5.7,6.08
Pi5,Llama-3.2-1B,Q3_K_L,Generate a movie review,court,23,16,3,16,1.51,3.873047013949305e-06,13.9,7.8,5.3,5.75
Pi5,Llama-3.2-1B,Q3_K_L,Identify popular dishes in Mexico.,court,34,16,1,16,1.58,3.9680121846824715e-06,14.3,8.5,6.0,6.29
Pi5,Llama-3.2-1B,Q3_K_L,Identify popular dishes in Mexico.,court,34,16,2,16,1.58,3.949666930495045e-06,14.2,9.7,6.9,6.28
Pi5,Llama-3.2-1B,Q3_K_L,Identify popular dishes in Mexico.,court,34,16,3,16,1.58,3.964873165349845e-06,14.3,9.1,6.4,6.23
Pi5,Llama-3.2-1B,Q3_K_L,What is unique about a hyperbole?,court,33,16,1,16,1.6,4.002212819061404e-06,14.4,9.3,6.5,6.37
Pi5,Llama-3.2-1B,Q3_K_L,What is unique about a hyperbole?,court,33,16,2,16,1.61,4.028839368708917e-06,14.5,8.8,6.1,6.06
Pi5,Llama-3.2-1B,Q3_K_L,What is unique about a hyperbole?,court,33,16,3,16,1.62,4.030619814220957e-06,14.5,8.8,6.3,6.52
Pi5,Llama-3.2-1B,Q3_K_L,Write an emergency response plan,court,32,16,1,16,1.54,3.906815725995178e-06,14.1,8.6,5.9,5.94
Pi5,Llama-3.2-1B,Q3_K_L,Write an emergency response plan,court,32,16,2,16,1.55,3.915643510032557e-06,14.1,8.2,5.5,5.63
Pi5,Llama-3.2-1B,Q3_K_L,Write an emergency response plan,court,32,16,3,16,1.53,3.9080779305656995e-06,14.1,8.7,6.0,6.0
Pi5,Llama-3.2-1B,Q3_K_L,Generate a quiz about physics.,court,30,16,1,16,1.58,3.971159340650448e-06,14.3,8.8,6.1,6.45
Pi5,Llama-3.2-1B,Q3_K_L,Generate a quiz about physics.,court,30,16,2,16,1.57,3.955336088425649e-06,14.2,9.2,6.3,6.29
Pi5,Llama-3.2-1B,Q3_K_L,Generate a quiz about physics.,court,30,16,3,16,1.54,3.934522017872181e-06,14.2,8.8,6.1,6.09
Pi5,Llama-3.2-1B,Q3_K_L,Develop a metaphor for hope.,court,28,16,1,16,1.58,3.978451467208631e-06,14.3,9.1,6.5,6.67
Pi5,Llama-3.2-1B,Q3_K_L,Develop a metaphor for hope.,court,28,16,2,16,1.56,3.93946969239437e-06,14.2,8.4,5.9,6.22
Pi5,Llama-3.2-1B,Q3_K_L,Develop a metaphor for hope.,court,28,16,3,16,1.57,3.946348030625856e-06,14.2,8.5,5.8,6.24
Pi5,Llama-3.2-1B,Q3_K_L,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,1,16,1.75,4.214968518312368e-06,15.2,9.9,7.0,6.38
Pi5,Llama-3.2-1B,Q3_K_L,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,2,16,1.75,4.224347087225905e-06,15.2,9.5,6.8,6.53
Pi5,Llama-3.2-1B,Q3_K_L,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,3,16,1.75,4.225786644475603e-06,15.2,9.9,6.7,5.87
Pi5,Llama-3.2-1B,Q3_K_L,Describe the primary colors.,court,28,16,1,16,1.55,3.9339675879284466e-06,14.2,7.4,4.9,5.44
Pi5,Llama-3.2-1B,Q3_K_L,Describe the primary colors.,court,28,16,2,16,1.55,3.905195424670582e-06,14.1,8.6,5.8,5.92
Pi5,Llama-3.2-1B,Q3_K_L,Describe the primary colors.,court,28,16,3,16,1.54,4.039002630549011e-06,14.5,8.4,5.7,5.74
Pi5,Llama-3.2-1B,Q3_K_L,Name two first aid treatments for a cut.,court,40,16,1,16,1.63,4.041202844577733e-06,14.5,9.5,6.7,6.5
Pi5,Llama-3.2-1B,Q3_K_L,Name two first aid treatments for a cut.,court,40,16,2,16,1.65,4.06744452475855e-06,14.6,9.5,6.8,6.53
Pi5,Llama-3.2-1B,Q3_K_L,Name two first aid treatments for a cut.,court,40,16,3,16,1.64,4.049756702070447e-06,14.6,9.0,6.3,6.19
Pi5,Llama-3.2-1B,Q3_K_L,Write one sentence about handwashing.,court,37,16,1,16,1.58,3.981722452744118e-06,14.3,8.8,6.1,6.04
Pi5,Llama-3.2-1B,Q3_K_L,Write one sentence about handwashing.,court,37,16,2,16,1.57,3.93871090468937e-06,14.2,8.2,5.7,6.07
Pi5,Llama-3.2-1B,Q3_K_L,Write one sentence about handwashing.,court,37,16,3,16,1.58,3.95939010621514e-06,14.3,9.7,6.9,6.25
Pi5,Llama-3.2-1B,Q3_K_L,Who is Samantha Andrews?,court,24,16,1,16,1.55,3.8972790019445505e-06,14.0,8.4,5.7,5.79
Pi5,Llama-3.2-1B,Q3_K_L,Who is Samantha Andrews?,court,24,16,2,16,1.54,3.898554213305335e-06,14.0,8.4,5.7,5.9
Pi5,Llama-3.2-1B,Q3_K_L,Who is Samantha Andrews?,court,24,16,3,16,1.55,3.9119692605361344e-06,14.1,7.8,5.2,5.75
Pi5,Llama-3.2-1B,Q3_K_L,What year did WW2 start?,court,24,16,1,16,1.59,3.97822707175474e-06,14.3,9.3,6.3,5.98
Pi5,Llama-3.2-1B,Q3_K_L,What year did WW2 start?,court,24,16,2,16,1.57,3.9643047606748496e-06,14.3,8.2,5.6,5.65
Pi5,Llama-3.2-1B,Q3_K_L,What year did WW2 start?,court,24,16,3,16,1.58,3.971875719639341e-06,14.3,9.7,6.8,6.27
Pi5,Llama-3.2-1B,Q3_K_L,Give 10 features of the sun.,court,28,16,1,16,1.61,4.016641950933442e-06,14.5,9.1,6.4,6.25
Pi5,Llama-3.2-1B,Q3_K_L,Give 10 features of the sun.,court,28,16,2,16,1.68,4.1147693424258305e-06,14.8,8.8,6.0,5.66
Pi5,Llama-3.2-1B,Q3_K_L,Give 10 features of the sun.,court,28,16,3,16,1.62,4.02698416807765e-06,14.5,9.8,6.8,6.19
Pi5,Llama-3.2-1B,Q3_K_L,Write a mock newspaper headline.,court,32,16,1,16,1.58,3.9657549730626045e-06,14.3,9.1,6.2,5.87
Pi5,Llama-3.2-1B,Q3_K_L,Write a mock newspaper headline.,court,32,16,2,16,1.58,3.974727403049115e-06,14.3,9.4,6.7,6.45
Pi5,Llama-3.2-1B,Q3_K_L,Write a mock newspaper headline.,court,32,16,3,16,1.58,3.958195131500125e-06,14.2,9.7,6.7,6.22
Pi5,Llama-3.2-1B,Q3_K_L,Create a data visualization of the latest COVID-19 cases in the US.,moyen,67,16,1,16,1.77,4.240635145833444e-06,15.3,10.1,7.1,6.01
Pi5,Llama-3.2-1B,Q3_K_L,Create a data visualization of the latest COVID-19 cases in the US.,moyen,67,16,2,16,1.81,4.3142131418313834e-06,15.5,10.3,7.2,6.09
Pi5,Llama-3.2-1B,Q3_K_L,Create a data visualization of the latest COVID-19 cases in the US.,moyen,67,16,3,16,1.79,4.298707044295331e-06,15.5,10.6,7.4,6.28
Pi5,Llama-3.2-1B,Q3_K_L,"Calculate the price after discount.
Regular price: $100, Discount: 15%",moyen,70,16,1,16,1.91,4.4977537453987736e-06,16.2,10.5,7.4,5.88
Pi5,Llama-3.2-1B,Q3_K_L,"Calculate the price after discount.
Regular price: $100, Discount: 15%",moyen,70,16,2,16,1.85,4.380265953185783e-06,15.8,10.9,7.9,6.49
Pi5,Llama-3.2-1B,Q3_K_L,"Calculate the price after discount.
Regular price: $100, Discount: 15%",moyen,70,16,3,16,1.84,4.358348566121789e-06,15.7,11.6,8.4,6.51
Pi5,Llama-3.2-1B,Q3_K_L,"Parse the given sentence grammatically.
The small jar sat on the shelf.",moyen,71,16,1,16,1.81,4.3090119675096475e-06,15.5,11.1,7.9,6.24
Pi5,Llama-3.2-1B,Q3_K_L,"Parse the given sentence grammatically.
The small jar sat on the shelf.",moyen,71,16,2,16,1.81,4.298408112855766e-06,15.5,10.6,7.7,6.63
Pi5,Llama-3.2-1B,Q3_K_L,"Parse the given sentence grammatically.
The small jar sat on the shelf.",moyen,71,16,3,16,1.82,4.3247816435962e-06,15.6,11.0,7.8,6.49
Pi5,Llama-3.2-1B,Q3_K_L,"Rewrite the given program in Java.
a = 4
b = 5
c = a + b
print(c)",moyen,65,16,1,16,2.08,4.474459918655416e-06,16.1,12.6,9.1,6.59
Pi5,Llama-3.2-1B,Q3_K_L,"Rewrite the given program in Java.
a = 4
b = 5
c = a + b
print(c)",moyen,65,16,2,16,2.1,4.492248691418922e-06,16.2,13.1,9.4,6.55
Pi5,Llama-3.2-1B,Q3_K_L,"Rewrite the given program in Java.
a = 4
b = 5
c = a + b
print(c)",moyen,65,16,3,16,2.08,4.480035976467295e-06,16.1,11.8,8.6,6.6
Pi5,Llama-3.2-1B,Q3_K_L,"Based on the input, provide the correct spelling of the word.
ambigious",moyen,71,16,1,16,1.79,4.3015071827187306e-06,15.5,10.0,6.9,5.9
Pi5,Llama-3.2-1B,Q3_K_L,"Based on the input, provide the correct spelling of the word.
ambigious",moyen,71,16,2,16,1.79,4.258711081912692e-06,15.3,10.1,7.2,6.39
Pi5,Llama-3.2-1B,Q3_K_L,"Based on the input, provide the correct spelling of the word.
ambigious",moyen,71,16,3,16,1.77,4.26950152644533e-06,15.4,9.1,6.2,5.79
Pi5,Llama-3.2-1B,Q3_K_L,Construct a query that returns information about the Eiffel Tower.,moyen,66,16,1,16,1.75,4.257136981844794e-06,15.3,10.0,7.1,6.35
Pi5,Llama-3.2-1B,Q3_K_L,Construct a query that returns information about the Eiffel Tower.,moyen,66,16,2,16,1.75,4.228140361141942e-06,15.2,10.0,7.1,6.46
